ruas,port,from1,to1,cost_link,kap
ME-AKSES,GigabitEthernet8/0/3,OLT00**ABT*3,MET**ABT,,1
ME-AKSES,GigabitEthernet8/0/0,OLT00**ABU*2DSU,MET**ABT,,1
ME-AKSES,GigabitEthernet8/0/12,OLT01**ABU*3,MET**ABT,,1
ME-AKSES,GigabitEthernet8/0/13,OLT01**ABU*3,MET**ABT,,1
ME-AKSES,GigabitEthernet8/0/14,OLT01**ABU*3,MET**ABT,,1
ME-AKSES,GigabitEthernet8/0/15,OLT01**ABU*3,MET**ABT,,1
ME-AKSES,GigabitEthernet8/0/5,OLT02**ABU*2,MET**ABT,,1
ME-AKSES,GigabitEthernet10/0/14,OLT00**DMO*2BKN,MET**DMO,,1
ME-AKSES,GigabitEthernet15/1/4,OLT00**DMO*3*CWS,MET**DMO,,10
ME-AKSES,GigabitEthernet2/0/1,OLT00**DMO*3*CWS,MET**DMO,,10
ME-AKSES,GigabitEthernet11/0/4,OLT00**DMO*3TDR,MET**DMO,,1
ME-AKSES,GigabitEthernet15/1/0,OLT00**MGO*2JAS,MET**DMO,,10
ME-AKSES,GigabitEthernet2/0/2,OLT00**MGO*2WDR,MET**DMO,,10
ME-AKSES,GigabitEthernet10/0/0,OLT00**MGO*3GPA,MET**DMO,,1
ME-AKSES,GigabitEthernet11/0/1,OLT00**MGO*3INT,MET**DMO,,1
ME-AKSES,GigabitEthernet7/0/1,OLT00**MGO*3PGS,MET**DMO,,1
ME-AKSES,GigabitEthernet9/1/22,OLT01**DMO*3,MET**DMO,,1
ME-AKSES,GigabitEthernet15/1/8,OLT02**DMO*3,MET**DMO,,10
ME-AKSES,GigabitEthernet11/0/3,OLT02**MGO*3TP6,MET**DMO,,1
ME-AKSES,GigabitEthernet15/1/6,OLT04**DMO*3,MET**DMO,,10
ME-AKSES,GigabitEthernet15/1/3,OLT05**DMO*3,MET**DMO,,10
ME-AKSES,GigabitEthernet15/1/10,OLT06**DMO*3,MET**DMO,,10
ME-AKSES,GigabitEthernet2/0/5,OLT07**DMO*3,MET**DMO,,10
ME-AKSES,GigabitEthernet15/1/2,OLT08**DMO*5,MET**DMO,,10
ME-AKSES,GigabitEthernet15/1/7,OLT09**DMO*5,MET**DMO,,10
ME-AKSES,GigabitEthernet4/0/2,OLT10**DMO*3,MET**DMO,,10
ME-AKSES,GigabitEthernet8/0/19,OLT10**DMO*3,MET**DMO,,1
