no,bw_down,cfu,to0,from1,bw20,olt1
1.D1,0.035,RETAIL,1,CGW2*.BTC,0.2337,OLT00**ABT*3
1.D2,0.035,RETAIL,2,CGW*.BDS,0.2337,OLT00**ABT*3
1.D3,0.035,RETAIL,3,CGW*.MDO,0.2337,OLT00**ABT*3
1.D4,0.035,RETAIL,4,CGW*.PNK,0.2337,OLT00**ABT*3
1.D5,0.035,RETAIL,5,TEL#_CGW2*.BDS,0.2337,OLT00**ABT*3
1.D6,0.035,RETAIL,6,TEL#_CGW2**BDS,0.2337,OLT00**ABT*3
1.D7,0.035,RETAIL,7,TEL#_CGW*.BDS,0.2337,OLT00**ABT*3
1.D8,0.035,RETAIL,8,CGW2*.BTC,0.2337,OLT00**ABT*3
1.D9,0.035,RETAIL,9,CGW*.BDS,0.2337,OLT00**ABT*3
1.D10,0.035,RETAIL,10,CGW2*.BTC,0.2337,OLT00**ABT*3
1.D11,0.035,RETAIL,11,CGW*.BDS,0.2337,OLT00**ABT*3
1.D12,0.035,RETAIL,12,CGW2*.BTC,0.2337,OLT00**ABT*3
1.D13,0.035,RETAIL,13,CGW*.BDS,0.2337,OLT00**ABT*3
1.D14,0.035,RETAIL,14,CGW*.MDO,0.2337,OLT00**ABT*3
1.D15,0.035,RETAIL,15,CGW*.PNK,0.2337,OLT00**ABT*3
1.D16,0.035,RETAIL,16,TEL#_CGW2*.BDS,0.2337,OLT00**ABT*3
1.D17,0.035,RETAIL,17,TEL#_CGW2**BDS,0.2337,OLT00**ABT*3
1.D18,0.035,RETAIL,18,TEL#_CGW*.BDS,0.2337,OLT00**ABT*3
1.D19,0.035,RETAIL,19,CGW2*.BTC,0.2337,OLT00**ABT*3
1.D20,0.035,RETAIL,20,CGW*.BDS,0.2337,OLT00**ABT*3
1.D21,0.035,RETAIL,21,CGW2*.BTC,0.2337,OLT00**ABT*3
1.D22,0.035,RETAIL,22,CGW*.BDS,0.2337,OLT00**ABT*3
1.D23,0.035,RETAIL,23,CGW2*.BTC,0.2337,OLT00**ABT*3
1.D24,0.035,RETAIL,24,CGW*.BDS,0.2337,OLT00**ABT*3
1.D25,0.035,RETAIL,25,CGW2*.BTC,0.2337,OLT00**ABT*3
1.D26,0.035,RETAIL,26,CGW*.BDS,0.2337,OLT00**ABT*3
1.D27,0.07,EBIS,27,CGW2*.BTC,0.4674,OLT00**ABT*3
1.D28,0.07,EBIS,28,CGW*.BDS,0.4674,OLT00**ABT*3
1.D29,0.104999997,WHOLESALE,29,CGW*.BDS,0.7011,OLT00**ABT*3
1.D30,0.104999997,WHOLESALE,30,CGW*.MDO,0.7011,OLT00**ABT*3
1.D31,0.140000001,MOBILE,31,CGW*.BDS,0.9348,OLT00**ABT*3
1.D32,0.140000001,MOBILE,32,CGW*.MDO,0.9348,OLT00**ABT*3
1.D33,0.035,RETAIL,33,CNGoogle,0.2337,OLT00**ABT*3
1.D34,0.035,RETAIL,34,CNFacebook,0.2337,OLT00**ABT*3
1.D35,0.035,RETAIL,35,CNNetflix,0.2337,OLT00**ABT*3
1.D36,0.035,RETAIL,36,CNConversant,0.2337,OLT00**ABT*3
1.D37,0.035,EBIS,37,CNGoogle,0.2337,OLT00**ABT*3
1.D38,0.035,EBIS,38,CNFacebook,0.2337,OLT00**ABT*3
1.D39,0.035,EBIS,39,CNNetflix,0.2337,OLT00**ABT*3
1.D40,0.035,EBIS,40,CNConversant,0.2337,OLT00**ABT*3
1.D41,0.035,WHOLESALE,41,CNGoogle,0.2337,OLT00**ABT*3
1.D42,0.035,WHOLESALE,42,CNFacebook,0.2337,OLT00**ABT*3
1.D43,0.035,WHOLESALE,43,CNNetflix,0.2337,OLT00**ABT*3
1.D44,0.035,WHOLESALE,44,CNConversant,0.2337,OLT00**ABT*3
1.D45,0.07,MOBILE,45,CNGoogle,0.4674,OLT00**ABT*3
1.D46,0.07,MOBILE,46,CNFacebook,0.4674,OLT00**ABT*3
1.D47,0.07,MOBILE,47,CNNetflix,0.4674,OLT00**ABT*3
1.D48,0.07,MOBILE,48,CNConversant,0.4674,OLT00**ABT*3
1.D49,0.046999998,RETAIL,49,CNIptv,0.3116,OLT00**ABT*3
1.D50,0.046999998,EBIS,50,CNIptv,0.3116,OLT00**ABT*3
2.D1,0.035,RETAIL,1,CGW2*.BTC,0.2319,OLT00**ABU*2DSU
2.D2,0.035,RETAIL,2,CGW*.BDS,0.2319,OLT00**ABU*2DSU
2.D3,0.035,RETAIL,3,CGW*.MDO,0.2319,OLT00**ABU*2DSU
2.D4,0.035,RETAIL,4,CGW*.PNK,0.2319,OLT00**ABU*2DSU
2.D5,0.035,RETAIL,5,TEL#_CGW2*.BDS,0.2319,OLT00**ABU*2DSU
2.D6,0.035,RETAIL,6,TEL#_CGW2**BDS,0.2319,OLT00**ABU*2DSU
2.D7,0.035,RETAIL,7,TEL#_CGW*.BDS,0.2319,OLT00**ABU*2DSU
2.D8,0.035,RETAIL,8,CGW2*.BTC,0.2319,OLT00**ABU*2DSU
2.D9,0.035,RETAIL,9,CGW*.BDS,0.2319,OLT00**ABU*2DSU
2.D10,0.035,RETAIL,10,CGW2*.BTC,0.2319,OLT00**ABU*2DSU
2.D11,0.035,RETAIL,11,CGW*.BDS,0.2319,OLT00**ABU*2DSU
2.D12,0.035,RETAIL,12,CGW2*.BTC,0.2319,OLT00**ABU*2DSU
2.D13,0.035,RETAIL,13,CGW*.BDS,0.2319,OLT00**ABU*2DSU
2.D14,0.035,RETAIL,14,CGW*.MDO,0.2319,OLT00**ABU*2DSU
2.D15,0.035,RETAIL,15,CGW*.PNK,0.2319,OLT00**ABU*2DSU
2.D16,0.035,RETAIL,16,TEL#_CGW2*.BDS,0.2319,OLT00**ABU*2DSU
2.D17,0.035,RETAIL,17,TEL#_CGW2**BDS,0.2319,OLT00**ABU*2DSU
2.D18,0.035,RETAIL,18,TEL#_CGW*.BDS,0.2319,OLT00**ABU*2DSU
2.D19,0.035,RETAIL,19,CGW2*.BTC,0.2319,OLT00**ABU*2DSU
2.D20,0.035,RETAIL,20,CGW*.BDS,0.2319,OLT00**ABU*2DSU
2.D21,0.035,RETAIL,21,CGW2*.BTC,0.2319,OLT00**ABU*2DSU
2.D22,0.035,RETAIL,22,CGW*.BDS,0.2319,OLT00**ABU*2DSU
2.D23,0.035,RETAIL,23,CGW2*.BTC,0.2319,OLT00**ABU*2DSU
2.D24,0.035,RETAIL,24,CGW*.BDS,0.2319,OLT00**ABU*2DSU
2.D25,0.035,RETAIL,25,CGW2*.BTC,0.2319,OLT00**ABU*2DSU
2.D26,0.035,RETAIL,26,CGW*.BDS,0.2319,OLT00**ABU*2DSU
2.D27,0.07,EBIS,27,CGW2*.BTC,0.4638,OLT00**ABU*2DSU
2.D28,0.07,EBIS,28,CGW*.BDS,0.4638,OLT00**ABU*2DSU
2.D29,0.104000002,WHOLESALE,29,CGW*.BDS,0.6957,OLT00**ABU*2DSU
2.D30,0.104000002,WHOLESALE,30,CGW*.MDO,0.6957,OLT00**ABU*2DSU
2.D31,0.138999999,MOBILE,31,CGW*.BDS,0.9276,OLT00**ABU*2DSU
2.D32,0.138999999,MOBILE,32,CGW*.MDO,0.9276,OLT00**ABU*2DSU
2.D33,0.035,RETAIL,33,CNGoogle,0.2319,OLT00**ABU*2DSU
2.D34,0.035,RETAIL,34,CNFacebook,0.2319,OLT00**ABU*2DSU
2.D35,0.035,RETAIL,35,CNNetflix,0.2319,OLT00**ABU*2DSU
2.D36,0.035,RETAIL,36,CNConversant,0.2319,OLT00**ABU*2DSU
2.D37,0.035,EBIS,37,CNGoogle,0.2319,OLT00**ABU*2DSU
2.D38,0.035,EBIS,38,CNFacebook,0.2319,OLT00**ABU*2DSU
2.D39,0.035,EBIS,39,CNNetflix,0.2319,OLT00**ABU*2DSU
2.D40,0.035,EBIS,40,CNConversant,0.2319,OLT00**ABU*2DSU
2.D41,0.035,WHOLESALE,41,CNGoogle,0.2319,OLT00**ABU*2DSU
2.D42,0.035,WHOLESALE,42,CNFacebook,0.2319,OLT00**ABU*2DSU
2.D43,0.035,WHOLESALE,43,CNNetflix,0.2319,OLT00**ABU*2DSU
2.D44,0.035,WHOLESALE,44,CNConversant,0.2319,OLT00**ABU*2DSU
2.D45,0.07,MOBILE,45,CNGoogle,0.4638,OLT00**ABU*2DSU
2.D46,0.07,MOBILE,46,CNFacebook,0.4638,OLT00**ABU*2DSU
2.D47,0.07,MOBILE,47,CNNetflix,0.4638,OLT00**ABU*2DSU
2.D48,0.07,MOBILE,48,CNConversant,0.4638,OLT00**ABU*2DSU
2.D49,0.046,RETAIL,49,CNIptv,0.3092,OLT00**ABU*2DSU
2.D50,0.046,EBIS,50,CNIptv,0.3092,OLT00**ABU*2DSU
3.D1,0.005,RETAIL,1,CGW2*.BTC,0.03,OLT00**DMO*2BKN
3.D2,0.005,RETAIL,2,CGW*.BDS,0.03,OLT00**DMO*2BKN
3.D3,0.005,RETAIL,3,CGW*.MDO,0.03,OLT00**DMO*2BKN
3.D4,0.005,RETAIL,4,CGW*.PNK,0.03,OLT00**DMO*2BKN
3.D5,0.005,RETAIL,5,TEL#_CGW2*.BDS,0.03,OLT00**DMO*2BKN
3.D6,0.005,RETAIL,6,TEL#_CGW2**BDS,0.03,OLT00**DMO*2BKN
3.D7,0.005,RETAIL,7,TEL#_CGW*.BDS,0.03,OLT00**DMO*2BKN
3.D8,0.005,RETAIL,8,CGW2*.BTC,0.03,OLT00**DMO*2BKN
3.D9,0.005,RETAIL,9,CGW*.BDS,0.03,OLT00**DMO*2BKN
3.D10,0.005,RETAIL,10,CGW2*.BTC,0.03,OLT00**DMO*2BKN
3.D11,0.005,RETAIL,11,CGW*.BDS,0.03,OLT00**DMO*2BKN
3.D12,0.005,RETAIL,12,CGW2*.BTC,0.03,OLT00**DMO*2BKN
3.D13,0.005,RETAIL,13,CGW*.BDS,0.03,OLT00**DMO*2BKN
3.D14,0.005,RETAIL,14,CGW*.MDO,0.03,OLT00**DMO*2BKN
3.D15,0.005,RETAIL,15,CGW*.PNK,0.03,OLT00**DMO*2BKN
3.D16,0.005,RETAIL,16,TEL#_CGW2*.BDS,0.03,OLT00**DMO*2BKN
3.D17,0.005,RETAIL,17,TEL#_CGW2**BDS,0.03,OLT00**DMO*2BKN
3.D18,0.005,RETAIL,18,TEL#_CGW*.BDS,0.03,OLT00**DMO*2BKN
3.D19,0.005,RETAIL,19,CGW2*.BTC,0.03,OLT00**DMO*2BKN
3.D20,0.005,RETAIL,20,CGW*.BDS,0.03,OLT00**DMO*2BKN
3.D21,0.005,RETAIL,21,CGW2*.BTC,0.03,OLT00**DMO*2BKN
3.D22,0.005,RETAIL,22,CGW*.BDS,0.03,OLT00**DMO*2BKN
3.D23,0.005,RETAIL,23,CGW2*.BTC,0.03,OLT00**DMO*2BKN
3.D24,0.005,RETAIL,24,CGW*.BDS,0.03,OLT00**DMO*2BKN
3.D25,0.005,RETAIL,25,CGW2*.BTC,0.03,OLT00**DMO*2BKN
3.D26,0.005,RETAIL,26,CGW*.BDS,0.03,OLT00**DMO*2BKN
3.D27,0.009,EBIS,27,CGW2*.BTC,0.06,OLT00**DMO*2BKN
3.D28,0.009,EBIS,28,CGW*.BDS,0.06,OLT00**DMO*2BKN
3.D29,0.014,WHOLESALE,29,CGW*.BDS,0.09,OLT00**DMO*2BKN
3.D30,0.014,WHOLESALE,30,CGW*.MDO,0.09,OLT00**DMO*2BKN
3.D31,0.017999999,MOBILE,31,CGW*.BDS,0.12,OLT00**DMO*2BKN
